,Genotype,Sample,label,area,DAPI_mean,DAPI_total
358,Control,2,14,17720.0,199.43831828442438,3534047.0
359,Control,2,16,17373.0,180.45524664709606,3135049.0
361,Control,2,27,15104.0,99.05806408898304,1496173.0
362,Control,2,41,13613.0,66.29824432527731,902518.0
363,Control,2,49,17820.0,171.3658810325477,3053740.0
364,Control,2,50,6793.0,186.93346091564845,1269839.0
366,Control,2,74,12093.0,202.78400727693707,2452267.0
367,Control,2,87,10285.0,183.6495867768595,1888836.0
368,Control,2,100,13578.0,330.0702607158639,4481694.0
369,Control,2,103,10796.0,139.85253797702853,1509848.0
370,Control,2,137,10612.0,144.97521673577083,1538477.0
371,Control,2,139,13252.0,138.02920313914882,1829163.0000000002
372,Control,2,153,11012.0,53.334634943697786,587321.0
373,Control,2,190,10047.0,180.22285259281378,1810699.0
374,Control,2,191,15625.0,377.557504,5899336.0
375,Control,2,215,12251.0,604.8275242837319,7409742.0
376,Control,2,220,3433.0,64.73259539761142,222227.0
377,Control,2,245,11632.0,164.35058459422282,1911725.9999999998
378,Control,2,289,15663.0,223.75707080380514,3504707.0
379,Control,2,305,12514.0,155.67364551702093,1948100.0
380,Control,2,306,17921.0,317.02220858211035,5681355.0
381,Control,2,309,19911.0,225.2383104816433,4484720.0
382,Control,2,313,9635.0,234.3022314478464,2257502.0
383,Control,2,354,10515.0,207.70699001426533,2184039.0
384,Control,2,356,22630.0,209.01444984533805,4729997.0
385,Control,2,357,15250.0,357.1180983606557,5446051.0
386,Control,2,359,19780.0,241.5556622851365,4777971.0
387,Control,2,384,16264.0,264.56265371372353,4302847.0
388,Control,2,388,9706.0,235.3726560890171,2284527.0
389,Control,2,414,26260.0,276.4659558263519,7259996.000000001
390,Control,2,536,14829.0,160.85069795670645,2385255.0
391,Control,2,600,9982.0,394.5257463434182,3938156.0000000005
392,Control,2,602,12581.0,183.73730228121772,2311599.0
393,Control,2,616,19390.0,270.07328519855594,5236721.0
394,Control,2,632,12457.0,188.47370956088946,2347817.0
396,Control,2,645,12379.0,204.28071734388885,2528791.0
397,Control,2,671,22438.0,226.47829574828415,5081720.0
398,Control,2,719,18441.0,256.78542378395963,4735379.999999999
399,Control,2,744,13162.0,260.8083118067163,3432759.0
400,Control,2,836,17091.0,259.2838335966298,4431420.0
401,Control,2,837,17582.0,232.49243544534184,4087682.0000000005
402,Control,2,873,11982.0,281.7583041228509,3376027.9999999995
403,Control,2,882,20496.0,228.2347287275566,4677899.0
404,Control,2,907,13708.0,145.22417566384593,1990733.0
405,Control,2,908,16299.0,163.4762255353089,2664499.0
407,Control,2,946,9091.0,260.23407765922343,2365788.0
408,Control,2,963,3356.0,57.0473778307509,191451.0
409,Control,2,974,7852.0,245.89786041772797,1930790.0
410,Control,2,990,11831.0,123.95740005071423,1466540.0
411,Control,2,1020,12546.0,122.71393272756256,1539569.0
412,Control,2,1027,15875.0,222.57184251968505,3533328.0
413,Control,2,1066,15714.0,142.34249713631158,2236770.0
414,Control,2,1067,9144.0,129.93252405949255,1188102.9999999998
416,Control,2,1082,12788.0,188.45996246481076,2410026.0
418,Control,2,1092,14851.0,324.3974143155343,4817626.0
419,Control,2,1098,9633.0,130.23595972178967,1254562.9999999998
420,Control,2,1108,15010.0,134.82958027981346,2023792.0
421,Control,2,1109,12066.0,161.16575501408917,1944626.0
422,Control,2,1112,13798.0,155.35548630236266,2143595.0
423,Control,2,1114,15237.0,154.0292052241255,2346943.0
424,Control,2,1119,11595.0,301.9495472186287,3501105.0
425,Control,2,1133,9675.0,182.66108527131783,1767246.0
432,Control,2,1371,11540.0,382.5125649913345,4414195.0
433,Control,2,1372,12828.0,311.59627377611474,3997157.0
434,Control,2,1373,6068.0,193.67732366512854,1175234.0
435,Control,2,1374,14265.0,343.46056782334387,4899465.0
436,Control,2,1376,9444.0,389.07295637441763,3674405.0
437,Control,2,1377,12728.0,270.9777655562539,3449005.0
438,Control,2,1378,13307.0,222.3305778913354,2958553.0
439,Control,2,1379,12888.0,330.66108007448787,4261560.0
440,Control,2,1380,10031.0,354.72036686272554,3558200.0
441,Control,2,1381,13394.0,275.1647752725101,3685557.0000000005
442,Control,2,1382,15036.0,207.60288640595903,3121517.0
443,Control,2,1383,17524.0,300.8556265692764,5272194.0
444,Control,2,1384,13674.0,309.06779289161915,4226193.0
445,Control,2,1385,14043.0,392.7003489282917,5514691.0
446,Control,2,1386,11091.0,216.48597962311786,2401046.0
447,Control,2,1387,12678.0,355.2981542830099,4504470.0
448,Control,2,1388,11155.0,231.5994621246078,2583492.0
449,Control,2,1389,15217.0,181.8533876585398,2767263.0
450,Control,2,1390,10699.0,172.09113001215067,1841203.0
451,Control,2,1391,3280.0,66.71158536585367,218814.00000000003
452,Control,2,1392,19616.0,197.30617862969004,3870358.0
453,Control,2,1393,14207.0,337.60061941296544,4796292.0
454,Control,2,1394,14754.0,375.78704080249423,5544362.0
455,Control,2,1395,16417.0,302.90735213498203,4972830.0
456,Control,2,1396,13842.0,385.3682993787025,5334268.0
457,Control,2,1397,12090.0,395.1876757650951,4777819.0
458,Control,2,1398,7369.0,304.1281042203827,2241120.0
459,Control,2,1399,13900.0,306.34244604316547,4258160.0
460,Control,2,1400,11527.0,162.77253405049015,1876279.0
461,Control,2,1401,9950.0,273.2700502512563,2719037.0
462,Control,2,1402,8924.0,275.2557149260421,2456382.0
463,Control,2,1403,14188.0,289.3958979419227,4105948.9999999995
464,Control,2,1404,11119.0,342.6320712294271,3809725.9999999995
465,Control,2,1405,6622.0,281.9012382965871,1866749.9999999998
466,Control,2,1406,16711.0,336.30728262820895,5620031.0
467,Control,2,1407,10399.0,359.4112895470718,3737518.0
468,Control,2,1408,4816.0,302.1754568106312,1455276.9999999998
469,Experimental,0,1,230111.0,179.99171269517754,41418073.0
471,Experimental,0,193,127239.0,243.5928842571853,30994515.0
472,Experimental,0,342,129291.0,236.41883812485014,30566828.0
474,Experimental,0,429,31174.0,196.18188233784565,6115774.0
475,Experimental,0,476,79229.0,146.93710636256927,11641680.0
476,Experimental,0,511,56737.0,189.84105610095705,10771012.0
478,Experimental,0,599,35944.0,119.91158468729134,4310102.0
479,Experimental,0,829,137368.0,216.63046706656573,29758094.0
480,Experimental,0,894,133440.0,188.1826139088729,25111088.0
481,Experimental,0,936,89985.0,107.85757626271045,9705564.0
482,Experimental,0,979,46597.0,154.33948537459494,7191757.000000001
483,Experimental,0,1112,17082.0,187.26858681653204,3198922.0000000005
484,Experimental,0,1197,76792.0,101.85162516928847,7821390.0
486,Experimental,0,1244,40997.0,116.5716028002049,4779086.0
487,Experimental,0,1269,20779.0,180.51061167524904,3750829.9999999995
488,Experimental,0,1275,32356.0,315.14331190505624,10196777.0
489,Experimental,0,1421,21034.0,95.64609679566416,2011820.0
492,Experimental,0,1488,1140.0,103.97456140350877,118531.0
494,Experimental,0,1569,65373.0,71.05684303917519,4645199.0
495,Experimental,0,1591,59879.0,149.68897276173618,8963226.0
497,Experimental,0,1626,20580.0,174.84795918367348,3598371.0000000005
498,Experimental,0,1704,38490.0,146.49134840218238,5638452.0
499,Experimental,0,1705,38813.0,129.81446937881637,5038489.0
500,Experimental,0,1707,67351.0,44.55270151890841,3000669.0
503,Experimental,0,1757,18060.0,104.95514950166113,1895490.0
506,Experimental,0,1811,35696.0,42.55499215598386,1519043.0
511,Experimental,0,1902,84216.0,301.968343307685,25430566.0
515,Experimental,0,1956,11812.0,120.51346088723332,1423505.0
519,Experimental,0,1964,45190.0,40.96184996680682,1851066.0
524,Experimental,0,1979,37971.0,576.6468884148429,21895859.0
527,Experimental,0,2015,16970.0,144.8948733058338,2458866.0
529,Experimental,0,2017,84668.0,60.07295554400718,5086257.0
